word,translation,phonetic,mastered,sentences
"abjection","NOUN. 卑鄙，落魄，抛弃，驱逐","/æbˈdʒek.ʃən/","✗","an abjection from the beatific regions where God, and his angels and saints, dwell forever;The abjection of the king and his realm.;a. 1639, Joseph Mede, a sermon
ingenerate or encrease this disposition of lowlineſſe and abjection"
"accelerant","NOUN. 助燃剂，触媒","/əkˈsel.ə.rənt/","✗","Accelerant was poured across the beds where the two daughters of a family in Cheshire, Conn., had been tied before a fire during a home invasion in 2007, a fire investigator told jurors on Friday.;Hello Neighbor’s experience reflects the rise of video sites like YouTube as an accelerant for the video game business.;[Mike] Skinner can be credited with pouring lots of accelerant on pop in his time. In his absence, Caribbean-derived UK bass music became the de facto sound of British youth."
"accordingly","ADV. 据此，相应，因此，为此","/əˈkɔːdɪŋli/","✗","Our preparations were all finished. Accordingly, we set sail.;He was absent when I called, and I accordingly left my card.;From the Marvel Mixmaster to the Miracle Microwave, every time a new-fangled gadget has lobbed into the Aussie kitchen, Aussie mums have changed their cooking styles accordingly."
"adopt","VERB. 采用，采取，采纳，收养，领养，采","/əˈdɒpt/","✗","We're going to adopt a Dalmatian.;to adopt the view or policy of another;Every society should adopt an order of business adapted to its special wants."
"affiliate","NOUN. 代销商，联属，子公司，联盟，从属，会员，附属，加盟，分支机构，下属","/əˈfɪlieɪt/","✗","Our local TV channel is an affiliate of NBC.;They used to been more of a Detroit channel, as they had showed a lot of American programs, aside from being the CBC affiliate.;to affiliate the child to (or on or upon) one man rather than another"
"algorithmically","X. [计] 在算法上","æl'ɡɒrɪθmɪklɪ","✗",""
"alienate","VERB. 疏远，离间，疏离","/ˈeɪliəneɪt/","✗","Henry knew better than to alienate one of the Acme secretaries.;The principal force and property of hatred then, is to divide, separate, alienate, and elongate a man from what he hates.;This essentially urban lifestyle, modelled on the factory artel, did much to alienate the local peasantry […]"
"alienation","NOUN. 异化，疏离，异化现象，疏远，隔阂","/ˌeɪliəˈneɪʃn/","✗","Perhaps being in a touring band was, to Yorke, a synecdoche for the modern condition: disorientation, alienation, rootlessness, exhaustion, lack of control, occasional derangement, constant motion.;The alienation of that viewing demographic is a poor business decision.;Wearing an Audie Murphy black jacket, playing a Chuck Berry guitar, and performing his electrified alienation with passionate indifference, Dylan assassinated the audience."
"alliance","NOUN. 联盟，同盟，结盟，联，北约，加盟，盟友","/əˈlaɪəns/","✗","an alliance between church and state, or between two countries;And as for kindred , there is no Alliance neerer vnto any one, than their Countrey , that is to be vnto vs another God, and our prime and deareſt Parent.;the alliance of the principles of the world with those of the gospel"
"alloy","NOUN. 合金，铝合金，合金钢","/ˈælɔɪ/","✗","gold without alloy;The sole grievance and alloy thus removed in the prospect of Harriet’s welfare, she was really in danger of becoming too happy for security.;to alloy gold with silver or copper, or silver with copper"
"alphanumeric","ADJ. 字母","/ˌælfənjuːˈmerɪk/","✗","Therefore, we need a special code to represent all alphanumeric data (letters, symbols, and numbers).;The last bit of information on each tombstone is an accession number—an alphanumeric block that is assigned when an object is added (accessioned) to the museums’ collections.;Basically, the Soundex algorithm converts each string into an alphanumeric code that begins with the first letter of the string."
"alternate","ADJ. 互生，交替，备用，候补，替代，备选，轮流，替换","/ɔːlˈtɜːnət/","✗","Alternate picking is a guitar playing technique.;The service is half-hourly as far as Harrogate and Knaresborough, with alternate trains going on to York.;Goldschmidt (Austria; creation July 27, 1862): … party, argent and gules, an eagle of alternate colors, …"
"altruism","NOUN. 利他主义，利他","/ˈæltruɪzəm/","✗","Thus Aurobindo Ghose stated that the puritanical, pharisaical British conquered in the name of liberty and usurped under the cloak of altruism.;The visitor in Man Facing South-east claims pure altruism; Rantes (Hugo Soto) wants to alleviate the suffering of the poor and helpless.;Finally, there is a microliterature on transfers (see Cox 1987 and Kotlikoff 1988 for summaries) that appears, on balance, to reject the altruism model."
"ambassador","NOUN. 大使，驻华大使，国宾，驻，形象大使，使者","/æmˈbæsədə(r)/","✗","Vergenne'fury reached its height when the priest tried to involve the English ambassador.;As front hall porter, you are an ambassador for the hotel.;Ambassador Udina: The other species are scared. They've never faced anything like this before and they don't know what to do."
"amend","VERB. 修订，修改，修正","/əˈmend/","✗","1990, Doug Hoyle, Hansard, Trade Union Act, 1984, Amendment no. 2, 4 July, 1990,
It is necessary to amend the Act to preserve the spirit in which it was first passed into law […];Thus by the code of the Visigoths, it was forbidden to all strangers to take their subjects under a penalty of one hundred lashes and an amend in gold.;Did I owe him an amend? Probably not, but I did owe myself an amend. I did this by ceasing to resent."
"amendment","NOUN. 修订，修正案，修订动议，项修正案，修正，修改","/əˈmendmənt/","✗","Arrests and prosecutions intensified after Isis captured Mosul in June, but the groundwork had been laid by an earlier amendment to Jordan’s anti-terrorism law.;The First Amendment guarantees freedom of religion, speech, press, assembly, and petition.;The Thirteenth Amendment to the United States Constitution abolished slavery."
"angst","NOUN. 焦虑","/æŋst/","✗","It would be an intense disgust. The absolute apex of teen angst.;Suitably daunted by ultracrepidarian angst, I record here some tentative readings in rhetoric's expanded domain and venture a few preliminary observations on their relation to the electronic word.;Harry's adolescence is theatrical and gaudy, and many of its key scenes have a lurid and camp quality that is appropriate to the exaggerated mood-shifting and self-dramatizing of teen angst."
"antibiotic","ADJ. 抗生素，抗菌素，抗菌，抗菌药物，抗菌药，抑菌","/ˌæntibaɪˈɒtɪk/","✗","For some presumptive diagnoses, empirical antibiotic therapy begins immediately, whereas specific antibiotic therapy must await the results of the culture and sensitivity test.;This Scottish bacteriologist accidentally discovered the antibiotic penicillin after bacteria-killing fungus formed on staphylococci cultures he had left unattended.;A.xenization was accomplished by rinsing the worms 3 times in sterile distilled water, followed by their transfer to 10 ml. antibiotic solution (1,000 units potassium penicillin G and 100 y streptomycin sulphate per ml.);"
"apologist","NOUN. 辩护者，教义辩护文作者 X. 辩护者，辩解者","/əˈpɒlədʒɪst/","✓","15 October 2019, Aleksandar Hemon, ""‘The Bob Dylan of Genocide Apologists’"" in The New York Times
A genocide denier is an apologist for the next genocide.;2008, Bob Sweere, ""Voice of the Day: Global warming? Yes,"" News-Leader.com (Missouri), 16 Jun. (retrieved 1 July 2008),
Global warming is settled, unless you are a flat earther or an energy company apologist.;The author of the Horæ Paulinæ is not, by any means, the ideal apologist who can give satisfaction to his richly emotioned soul."
"arbitrage","NOUN. 套利，套汇，差价","/ˈɑːbɪtrɑːʒ/","✗","Indeed, as banks become more adept at internal risk classifications, their incentives to arbitrage economic and regulatory capital can only increase;Simons runs a kind of supersophisticated arbitrage operation from his offices in Manhattan and in East Setauket […];Before the crisis, perhaps 70 percent of demand came from practitioners of convertible arbitrage, who aimed to profit from the interplay of the debtlike and equitylike characteristics of the securities."
"arguably","ADV. 按理说，可以","/ˈɑːɡjuəbli/","✗","Computer engineers were at a loss last night to explain why the Government had been hit by arguably the worst electronic meltdown in the history of Whitehall. https://web.archive.org/web/20041209011615/http://news.independent.co.uk/uk/politics/story.jsp?story=587262;The cervines are arguably Europe's greatest mammalian success story: the earliest type, Cervavitus, first appeared about 10 million years ago—in Europe.;The king of all quad exercises, and arguably the best single-weight resistance exercise, is the squat."
"arrest","VERB. 逮捕，抓 NOUN. 拘捕，骤停，被捕，停搏，抓捕，扣押","/əˈrest/","✗","A white Starre[…]whiche to every mans sighte did lighte and arrest apon the Standard of Albry.;to arrest someone on suspicion of bribery;The arrest was standard, when suddenly the suspect broke ugly."
"aspirational","X. 有抱负的，志同的","/ˌæspəˈreɪʃənl/","✗","...in keeping with the historically aspirational function of the section, what with its statusy wedding pages and full-page ads for diamonds and fur.;For the last several seasons, aspirational television — shows like “Lipstick Jungle,” “Cashmere Mafia,” “Dirty Sexy Money” and “Big Shots” — has pressed audiences to connect with characters who lead ultrafabulous lives.;Wonderful for both casual and formal occasions, these unique earrings combine aspirational materials that have been celebrated in both the West and the East for centuries."
"assistance","NOUN. 援助，协助，帮助，救助，辅助，资助，支援，援","/əˈsɪstəns/","✗","While I this unexampled task essay, / Pass awful gulfs, and beat my painful way, / Celestial Dove! divine assistance bring, / Sustain me on thy strong-extended wing,;I depended on them for assistance.;They're going to take away our draw! (referring to e.g. disability assistance)"
